source_id,title,authors,publication_year,venue,doi,pmid,arxiv_id,other_identifier,source_url,pdf_url,local_path,access_date,license_type,license_url,usage_status,inclusion_status,inclusion_reason,exclusion_reason,expected_content_hash,source_type,study_type,population,intervention,comparator,outcome_notes,notes
oncology-benlaifaoui-2026-dietary-intervention-through-b,Dietary intervention through bacterial-derived butyrate elicits anti-tumor activity and increases anti-PD-1 response.,Myriam Benlaïfaoui; Corentin Richard; Sébastien Hunter; Eder Orlando Méndez-Salazar; Sylva Kourtian; Julie Malo; Diogjena Katerina Prifti; Mayra Ponce; Soumia Khalfi; Wiam Belkaïd; Meriem Messaoudene; Romain Boidot; Caroline Truntzer; François Girhinghelli; Catherine Lehoux-Duboix; Petronela Ancuta; Arielle Elkrief; Valérie Marcil; Bertrand Routy,2026,Gut microbes,10.1080/19490976.2026.2699457,42454784,,PMC13374751,https://pmc.ncbi.nlm.nih.gov/articles/PMC13374751/,https://pmc-oa-opendata.s3.amazonaws.com/PMC13374751.1/PMC13374751.1.pdf?md5=50523444b1f688bb923743a76b9d8b41,PMC13374751.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,"Bulk PMC Open Access Subset acquisition matching this corpus's scope vocabulary (NSCLC + PD-1/PD-L1 checkpoint-inhibitor terms), deterministic identity/license/full-text adjudication, and a documented rule-based title scope screen excluding wrong cancer types, preclinical/mechanism-only studies, off-topic diagnostic/surgical-technique papers, and single-patient case reports. Not yet individually reviewed for the golden evidence map.",,sha256:82766ed2a9e7d3e7ee51e8d4f4455bc77c7e4cdbbc2c21a6a91aab58e2ddceb5,paper,,,,,,"Acquired via bulk PMC OA ingestion pipeline (work/oncology/acquisition_receipt.json), not individually hand-curated. study_type/population/intervention/comparator left blank pending evidence-record-level review."
oncology-liu-2026-lenvatinib-potentiates-the-ant,Lenvatinib potentiates the antitumor efficacy of combined radiotherapy and PD-L1 blockade in lung adenocarcinoma.,Yudi Liu; Ling Xiao; Xinyu Nie; Jiahua Lyu; Chengxi Tang; Linjie Li; Xue Zhang; Tao Li; Jianming Huang; Shichuan Zhang,2026,Cancer biology & therapy,10.1080/15384047.2025.2610526,41481002,,PMC12773621,https://pmc.ncbi.nlm.nih.gov/articles/PMC12773621/,https://pmc-oa-opendata.s3.amazonaws.com/PMC12773621.1/PMC12773621.1.pdf?md5=7defd8fdefd6993e76b87839be0410f0,PMC12773621.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,"Bulk PMC Open Access Subset acquisition matching this corpus's scope vocabulary (NSCLC + PD-1/PD-L1 checkpoint-inhibitor terms), deterministic identity/license/full-text adjudication, and a documented rule-based title scope screen excluding wrong cancer types, preclinical/mechanism-only studies, off-topic diagnostic/surgical-technique papers, and single-patient case reports. Not yet individually reviewed for the golden evidence map.",,sha256:294b734b580811af5c5eefba2f10bab01c0adf9f745677644539eaeb58a57c5a,paper,,,,,,"Acquired via bulk PMC OA ingestion pipeline (work/oncology/acquisition_receipt.json), not individually hand-curated. study_type/population/intervention/comparator left blank pending evidence-record-level review."
oncology-niedermaier-2026-neoadjuvant-atezolizumab-and-c,"Neoadjuvant Atezolizumab and Chemotherapy for Non-Squamous Non-Small Cell Lung Cancer: Efficacy and Safety Results of an Open-Label, Single-Arm, Phase II Trial.",Benedikt Niedermaier; Tilmann Bochtler; Florian Eichhorn; Raffaella Griffo; Laura V Klotz; Michael Allgäuer; Albrecht Stenzinger; Helge Bischoff; Marc A Schneider; Petros Christopoulos; Uwe Haberkorn; Claus Peter Heussel; Inka Zoernig; Felix J F Herth; Michael Thomas; Alexander Rölle; Hauke Winter; Axel Benner; Dirk Jaeger; Martin E Eichhorn,2026,International journal of cancer,10.1002/ijc.70508,42003237,,PMC13397192,https://pmc.ncbi.nlm.nih.gov/articles/PMC13397192/,https://pmc-oa-opendata.s3.amazonaws.com/PMC13397192.1/PMC13397192.1.pdf?md5=0df3775963e89e849820c7043ff9b28a,PMC13397192.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,"Bulk PMC Open Access Subset acquisition matching this corpus's scope vocabulary (NSCLC + PD-1/PD-L1 checkpoint-inhibitor terms), deterministic identity/license/full-text adjudication, and a documented rule-based title scope screen excluding wrong cancer types, preclinical/mechanism-only studies, off-topic diagnostic/surgical-technique papers, and single-patient case reports. Not yet individually reviewed for the golden evidence map.",,sha256:5a222948138321b1a75ea909c4a58e8fb96bf0b77d3fc8773844a5770b60afa8,paper,,,,,,"Acquired via bulk PMC OA ingestion pipeline (work/oncology/acquisition_receipt.json), not individually hand-curated. study_type/population/intervention/comparator left blank pending evidence-record-level review."
oncology-peters-2026-real-world-outcomes-of-stage-i,Real-world outcomes of stage III non-small cell lung cancer in the durvalumab era: insights from a socioeconomically deprived population.,Adam L Peters; Harrison Douglas Stubbs; Sean F Duncan; Audrey Shaw; Karen Moore; Erin McGarry; Selina Tsim; Graeme Lumsden; Mark Stares; Iain Phillips; David Y Lewis; Kevin G Blyth; John D Maclay,2026,Clinical and translational radiation oncology,10.1016/j.ctro.2026.101232,42502457,,PMC13400429,https://pmc.ncbi.nlm.nih.gov/articles/PMC13400429/,https://pmc-oa-opendata.s3.amazonaws.com/PMC13400429.1/PMC13400429.1.pdf?md5=8559f112f5a9ac5f0f22cd4a1a54be6a,PMC13400429.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,"Bulk PMC Open Access Subset acquisition matching this corpus's scope vocabulary (NSCLC + PD-1/PD-L1 checkpoint-inhibitor terms), deterministic identity/license/full-text adjudication, and a documented rule-based title scope screen excluding wrong cancer types, preclinical/mechanism-only studies, off-topic diagnostic/surgical-technique papers, and single-patient case reports. Not yet individually reviewed for the golden evidence map.",,sha256:baae38499209f54fe7bd61bdca2cb3dc839df4eb446812951ecee828fc03e218,paper,,,,,,"Acquired via bulk PMC OA ingestion pipeline (work/oncology/acquisition_receipt.json), not individually hand-curated. study_type/population/intervention/comparator left blank pending evidence-record-level review."
oncology-ma-2026-pooled-safety-profiles-of-bisp,Pooled safety profiles of bispecific antibodies targeting PD-1/CTLA-4 or PD-1/VEGF in non-small cell lung cancer: a systematic review and single-arm meta-analysis.,Jiayun Ma; Weixing Zhao,2026,Journal of the Egyptian National Cancer Institute,10.1186/s43046-026-00387-2,42554769,,PMC13442781,https://pmc.ncbi.nlm.nih.gov/articles/PMC13442781/,https://pmc-oa-opendata.s3.amazonaws.com/PMC13442781.1/PMC13442781.1.pdf?md5=c9564dc52927bdf9b065a0ec55856a86,PMC13442781.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,"Bulk PMC Open Access Subset acquisition matching this corpus's scope vocabulary (NSCLC + PD-1/PD-L1 checkpoint-inhibitor terms), deterministic identity/license/full-text adjudication, and a documented rule-based title scope screen excluding wrong cancer types, preclinical/mechanism-only studies, off-topic diagnostic/surgical-technique papers, and single-patient case reports. Not yet individually reviewed for the golden evidence map.",,sha256:a9b5f60aee1554be124e4174de8a3230a8f6b7ed2f237cb5842dcfe572e0f4c4,paper,,,,,,"Acquired via bulk PMC OA ingestion pipeline (work/oncology/acquisition_receipt.json), not individually hand-curated. study_type/population/intervention/comparator left blank pending evidence-record-level review."
oncology-kwok-2026-ccl20-released-by-drug-toleran,CCL20 Released by Drug-Tolerant Persisters Impairs Immunotherapy in EGFR-Mutant Lung Adenocarcinoma.,Hoi-Hin Kwok; Jiashuang Yang; Nerissa Chui-Mei Lee; Junyang Deng; David Chi-Leung Lam,2026,MedComm,10.1002/mco2.70888,42549034,,PMC13430502,https://pmc.ncbi.nlm.nih.gov/articles/PMC13430502/,https://pmc-oa-opendata.s3.amazonaws.com/PMC13430502.1/PMC13430502.1.pdf?md5=fd6fc54e0b0809647fd92792fe5f05ed,PMC13430502.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,"Bulk PMC Open Access Subset acquisition matching this corpus's scope vocabulary (NSCLC + PD-1/PD-L1 checkpoint-inhibitor terms), deterministic identity/license/full-text adjudication, and a documented rule-based title scope screen excluding wrong cancer types, preclinical/mechanism-only studies, off-topic diagnostic/surgical-technique papers, and single-patient case reports. Not yet individually reviewed for the golden evidence map.",,sha256:4f2c2c5883c11b380ea58be8d0caa66a406804ead9677f727b22bfac710f820f,paper,,,,,,"Acquired via bulk PMC OA ingestion pipeline (work/oncology/acquisition_receipt.json), not individually hand-curated. study_type/population/intervention/comparator left blank pending evidence-record-level review."
oncology-wiest-2026-differential-effects-of-prior,"Differential effects of prior versus concomitant Steroid and Antibiotic Treatment on Immunotherapy Efficacy - A Pooled Analysis of the RAMONA, INTEGA, OPTIM, ELDORANDO, FORCE, TITAN-RCC and TITAN-TCC Trials of the German AIO Study Group.",Isabella C Wiest; Lena Dreikhausen; Ralph Keller; Marcos Marin-Galiano; Laurence Albiges; Johannes Meran; Katharina Leucht; Stefan Rieken; Emilio Esteban; Friedemann Zengerling; Joseph Tintelnot; Marc-Oliver Grimm; Farastuk Bozorgmehr; Petros Christopoulos; Alexander Stein; Mascha Binder; Nicolai Härtel; Konrad Klinghammer; Viktor Grünwald; Michael Pogorzelski; Matthias P Ebert,2026,British journal of cancer,10.1038/s41416-026-03428-8,42156980,,PMC13427731,https://pmc.ncbi.nlm.nih.gov/articles/PMC13427731/,https://pmc-oa-opendata.s3.amazonaws.com/PMC13427731.1/PMC13427731.1.pdf?md5=47342c5f69282bc00276a527c457e85f,PMC13427731.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,"Bulk PMC Open Access Subset acquisition matching this corpus's scope vocabulary (NSCLC + PD-1/PD-L1 checkpoint-inhibitor terms), deterministic identity/license/full-text adjudication, and a documented rule-based title scope screen excluding wrong cancer types, preclinical/mechanism-only studies, off-topic diagnostic/surgical-technique papers, and single-patient case reports. Not yet individually reviewed for the golden evidence map.",,sha256:3a92682eba38231f958da218a7f93686bf239eac1961d69af5af4250b951be3c,paper,,,,,,"Acquired via bulk PMC OA ingestion pipeline (work/oncology/acquisition_receipt.json), not individually hand-curated. study_type/population/intervention/comparator left blank pending evidence-record-level review."
oncology-huang-2026-safety-profile-of-camrelizumab,Safety profile of camrelizumab: An analysis based on literature and database review.,Yi Huang; Wei Li,2026,PloS one,10.1371/journal.pone.0354252,42490631,,PMC13395421,https://pmc.ncbi.nlm.nih.gov/articles/PMC13395421/,https://pmc-oa-opendata.s3.amazonaws.com/PMC13395421.1/PMC13395421.1.pdf?md5=d4426ac52d551032c46bc6bcda193e77,PMC13395421.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,"Bulk PMC Open Access Subset acquisition matching this corpus's scope vocabulary (NSCLC + PD-1/PD-L1 checkpoint-inhibitor terms), deterministic identity/license/full-text adjudication, and a documented rule-based title scope screen excluding wrong cancer types, preclinical/mechanism-only studies, off-topic diagnostic/surgical-technique papers, and single-patient case reports. Not yet individually reviewed for the golden evidence map.",,sha256:b184cc0496e4d643afb6de0b37b2d503bbd78686ce54f2a05cf54e32470f8570,paper,,,,,,"Acquired via bulk PMC OA ingestion pipeline (work/oncology/acquisition_receipt.json), not individually hand-curated. study_type/population/intervention/comparator left blank pending evidence-record-level review."
oncology-karatl-2026-proton-pump-inhibitor-use-and,Proton Pump Inhibitor Use and Survival Outcomes in Patients with Advanced Non-Small-Cell Lung Cancer Receiving Immunotherapy: A Real-World Study.,Salih Karatlı; Seher Kaya; Selahattin Çelik; Ayşegül İlhan; Özgen Ahmet Yıldırım,2026,"Medicina (Kaunas, Lithuania)",10.3390/medicina62071413,42512955,,PMC13413673,https://pmc.ncbi.nlm.nih.gov/articles/PMC13413673/,https://pmc-oa-opendata.s3.amazonaws.com/PMC13413673.1/PMC13413673.1.pdf?md5=e73fc2f4d9d34d3552b2186e79b99cd0,PMC13413673.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,"Bulk PMC Open Access Subset acquisition matching this corpus's scope vocabulary (NSCLC + PD-1/PD-L1 checkpoint-inhibitor terms), deterministic identity/license/full-text adjudication, and a documented rule-based title scope screen excluding wrong cancer types, preclinical/mechanism-only studies, off-topic diagnostic/surgical-technique papers, and single-patient case reports. Not yet individually reviewed for the golden evidence map.",,sha256:191e8f3c6552889492f1a87ab57d2fd0452e6a8f810fb3de42b74db819298f86,paper,,,,,,"Acquired via bulk PMC OA ingestion pipeline (work/oncology/acquisition_receipt.json), not individually hand-curated. study_type/population/intervention/comparator left blank pending evidence-record-level review."
oncology-meng-2026-plasticity-of-non-apoptotic-re,Plasticity of Non-Apoptotic Residual Tumor Cells After Neoadjuvant Immunochemotherapy: Epigenetic and Microenvironmental Determinants.,Wenjun Meng; Ruiyue Li; Peiliang Xie; Bangyi Xiang; Qing Li,2026,Biomolecules,10.3390/biom16071065,42509857,,PMC13406927,https://pmc.ncbi.nlm.nih.gov/articles/PMC13406927/,https://pmc-oa-opendata.s3.amazonaws.com/PMC13406927.1/PMC13406927.1.pdf?md5=45750c2745be9856dab5c3961632e131,PMC13406927.pdf,2026-08-08,CC BY,https://creativecommons.org/licenses/by/4.0/,approved_open_access,included,"Bulk PMC Open Access Subset acquisition matching this corpus's scope vocabulary (NSCLC + PD-1/PD-L1 checkpoint-inhibitor terms), deterministic identity/license/full-text adjudication, and a documented rule-based title scope screen excluding wrong cancer types, preclinical/mechanism-only studies, off-topic diagnostic/surgical-technique papers, and single-patient case reports. Not yet individually reviewed for the golden evidence map.",,sha256:b66f1f4261e24668c16b118931c466d782566e849d52846e5cb02ff09f96030c,paper,,,,,,"Acquired via bulk PMC OA ingestion pipeline (work/oncology/acquisition_receipt.json), not individually hand-curated. study_type/population/intervention/comparator left blank pending evidence-record-level review."
